id,loan_amnt_USD,loan_amnt_EUR,funded_amnt_USD,funded_amnt_EUR,int_rate,installment_USD,installment_EUR,total_pymnt_USD,total_pymnt_EUR,exchange_rate,issue_date,loan_status,term_months,sub_grade,verification_status,state_address
373332.0,9950.0,8952.412974322908,1000.0,899.7399974193878,0.1825,360.97,324.7791468684764,1072.82,965.2590640314676,1.1114321947097778,10.0,1.0,36.0,21.0,0.0,1.0
575239.0,12000.0,10796.879969032654,12000.0,10796.879969032654,0.20989999999999998,324.58,292.03760836238484,959.75,863.5254625232574,1.1114321947097778,10.0,1.0,60.0,25.0,1.0,2.0
707689.0,10000.0,9145.799735022167,10000.0,9145.799735022167,0.1366,340.13,311.076086387309,3726.25,3407.953626262635,1.093398094177246,2.0,1.0,36.0,13.0,1.0,0.0
709828.0,27200.0,24472.92792980735,27200.0,24472.92792980735,0.2899,553.87,498.3389923706763,41913.62,37711.3603506372,1.1114321947097778,10.0,1.0,60.0,6.0,0.0,4.0
849994.0,11400.0,10771.974431605378,11400.0,10771.974431605378,0.2899,376.09,355.3712161388128,3753.6,3546.81431811175,1.0583018064498901,3.0,0.0,36.0,10.0,0.0,1.0
1312426.0,15000.0,13625.250473876813,15000.0,13625.250473876813,0.1561,361.67,328.5229559258018,2880.35,2616.3660134954052,1.100897192955017,4.0,1.0,60.0,16.0,1.0,4.0
4526500.0,10800.0,9810.180341191306,10800.0,9810.180341191306,0.2899,328.22,298.1386473690565,2950.42,2680.0141002090418,1.100897192955017,4.0,1.0,36.0,1.0,1.0,2.0
6736790.0,18000.0,15946.200996660373,18000.0,15946.200996660373,0.2899,370.78,328.47402253009625,4432.02,3926.32676340104,1.1287955045700073,1.0,1.0,60.0,6.0,1.0,1.0
8138291.0,10350.0,9465.902725747943,1000.0,914.5799735022167,0.2299,291.72,266.8012698700667,1432.16,1309.8248548509348,1.093398094177246,2.0,0.0,60.0,26.0,1.0,4.0
8214572.0,7000.0,6402.059814515517,7000.0,6402.059814515517,0.2899,233.81,213.8379436045533,7300.41,6676.808784355318,1.093398094177246,2.0,1.0,36.0,11.0,1.0,2.0
